FrameNum,tx,ty,tz,yaw(degrees),pitch(degrees),roll(degrees)
Frame126,469.67,354.69,283.72,-9.003267772259024,-72.32828020992612,178.5454648699139
Frame127,470.57,355.04,283.27,-9.144159787121076,-72.47396323913851,178.2732282698861
Frame128,471.21,355.03,283.69,-9.030901960815136,-72.4606239004293,178.35980577424064
Frame129,472.22,355.0,283.73,-8.813205853281971,-72.56642718998248,178.47730587845118
Frame130,473.37,355.09,283.29,-8.760792644388944,-72.78514439821718,178.40846207890897
Frame131,473.93,355.42,283.03,-8.833635854940358,-72.92199821763987,178.24655724089885
Frame132,474.35,355.7,283.05,-8.84975802373548,-73.0236184724201,178.12787891260047
Frame133,475.27,355.7,283.23,-8.857017571382471,-73.25147981703314,178.10274818393606
Frame134,476.31,355.64,283.23,-8.82577150434219,-73.43557741148571,178.05678922788218
Frame135,476.95,355.57,283.05,-8.915973379550511,-73.57562470000563,178.0576841833064
Frame136,477.64,355.65,282.89,-8.989648114595775,-73.62717757298009,177.96362075048927
Frame137,478.46,355.42,283.1,-8.768455059838713,-73.57475479056531,178.1536141479376
Frame138,479.68,355.13,282.61,-8.68095621483915,-73.60511228138449,178.22851793437727
Frame139,480.72,355.0,282.64,-8.581493658114015,-73.58791396837215,178.35039231093592
Frame140,481.6,354.6,282.4,-8.521986314497084,-73.59892674193728,178.47622910226443
Frame141,482.16,354.31,282.89,-8.524903969612325,-73.61250835302192,178.59984958571533
Frame142,482.74,354.59,282.78,-8.597924148186886,-73.67889069570266,178.51084609087366
Frame143,483.72,354.28,282.35,-8.470570518382829,-73.85670744030583,178.5817435380056
Frame144,484.3,354.6,282.1,-8.384979987179474,-73.95015493791298,178.52678204430833
Frame145,484.77,354.6,282.11,-8.507430522101787,-74.00048031439742,178.4081697485309
Frame146,485.7,354.65,281.6,-8.46869894894976,-74.2384199631748,178.35798655680176
Frame147,486.98,354.79,281.54,-8.129465370352209,-74.4702537612049,178.5123302536953
Frame148,487.46,355.16,281.69,-8.095959038433548,-74.45713444953707,178.43967033256672
Frame149,488.46,355.1,281.6,-7.880042761775981,-74.55505085516873,178.5747759437641
Frame150,489.5,355.4,281.89,-7.988115082132674,-74.6587610854985,178.3433539668992
Frame151,490.58,355.1,281.61,-7.743857868842235,-74.8781902625216,178.55268570419616
Frame152,491.32,355.08,281.2,-8.010652702125734,-75.0599415974324,178.34305130197862
Frame153,492.2,354.6,280.91,-7.9935386685593945,-75.20720035040988,178.52391315108866
Frame154,492.32,354.3,281.47,-8.032403018763944,-75.20156600544102,178.60828153360583
Frame155,493.87,354.56,280.79,-8.170968454992176,-75.3781069128889,178.3970116392797
Frame156,495.09,354.63,280.84,-8.03015377435301,-75.39391609353325,178.4394403830073
Frame157,496.47,355.17,280.73,-7.879334672697118,-75.4724204144196,178.3738049156135
Frame158,497.8,355.01,280.72,-7.6321128389805954,-75.53828299346203,178.57119470426704
Frame159,499.29,355.47,280.49,-7.86836748435909,-75.73524519609542,178.25913530477928
Frame160,500.78,355.43,280.14,-7.734936099552459,-76.0220488879609,178.32937596190143
Frame161,502.36,355.58,279.32,-7.960022371653793,-76.48257709000829,178.07558794863525
Frame162,503.45,355.28,279.17,-7.986574895138543,-76.82086189979691,178.2121551109969
Frame163,504.58,354.93,279.23,-7.687372385533959,-76.95231466792909,178.55617527634462
Frame164,505.71,354.9,278.93,-7.856585272183577,-77.10014482300434,178.42622026127574
Frame165,506.89,354.56,279.13,-7.734124702050755,-77.11537446041442,178.53508250932194
Frame166,508.66,355.15,277.46,-8.300072164716218,-77.46808119210574,177.66430880376376
Frame167,508.9,355.0,278.1,-8.617272302625326,-77.27411661651131,177.47990313417773
Frame168,509.67,354.9,277.9,-9.062165837024368,-77.29060994857613,177.12144712899152
Frame169,510.71,354.46,278.45,-8.99372275670356,-77.19019952393795,177.39047467329502
