Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.20984,0.030966,-0.97723,515.88,0.10545,-0.99437,-0.0088662,354.9,-0.97203,-0.10119,-0.21192,277.03,0.0,0.0,0.0,1.0
0.20931,0.027792,-0.97739,518.64,0.098485,-0.99505,-0.0072038,355.82,-0.97287,-0.094757,-0.21103,276.34,0.0,0.0,0.0,1.0
0.21016,0.025561,-0.97733,519.74,0.096346,-0.99533,-0.0053141,356.0,-0.97291,-0.093045,-0.21165,276.94,0.0,0.0,0.0,1.0
0.20761,0.023056,-0.97794,521.63,0.095132,-0.99546,-0.0032729,356.16,-0.97357,-0.092354,-0.20886,276.44,0.0,0.0,0.0,1.0
0.20598,0.021926,-0.97831,522.64,0.094934,-0.99548,-0.0023229,356.11,-0.97394,-0.092397,-0.20713,276.04,0.0,0.0,0.0,1.0
0.20398,0.020731,-0.97875,524.29,0.098292,-0.99515,-0.00059419,355.6,-0.97403,-0.096083,-0.20503,276.17,0.0,0.0,0.0,1.0
0.19848,0.020191,-0.97989,526.21,0.10001,-0.99498,-0.00024396,355.31,-0.97499,-0.097954,-0.1995,275.33,0.0,0.0,0.0,1.0
0.19464,0.020027,-0.98059,527.58,0.10022,-0.99489,-0.00042692,355.2,-0.97574,-0.098202,-0.19567,274.66,0.0,0.0,0.0,1.0
0.18687,0.016319,-0.98222,530.2,0.10235,-0.99472,0.0029563,353.97,-0.97702,-0.10108,-0.18756,274.63,0.0,0.0,0.0,1.0
0.17944,0.018346,-0.98359,531.25,0.10085,-0.9949,-0.00015772,354.61,-0.97858,-0.099172,-0.18038,274.17,0.0,0.0,0.0,1.0
0.17003,0.018794,-0.98525,532.87,0.097327,-0.99525,-0.0021853,355.16,-0.98062,-0.095521,-0.17105,273.28,0.0,0.0,0.0,1.0
0.15768,0.015071,-0.9873,536.17,0.097484,-0.99516,0.00037771,354.32,-0.98266,-0.096312,-0.1584,272.85,0.0,0.0,0.0,1.0
0.14903,0.01613,-0.9887,537.52,0.096945,-0.99529,-0.0016233,354.6,-0.98407,-0.095608,-0.1499,272.04,0.0,0.0,0.0,1.0
0.14164,0.015621,-0.98971,539.85,0.095446,-0.99535,-0.0020503,354.15,-0.9853,-0.094181,-0.14249,271.32,0.0,0.0,0.0,1.0
0.13684,0.01518,-0.99048,541.74,0.093648,-0.9956,-0.0023197,353.87,-0.98616,-0.092439,-0.13766,270.84,0.0,0.0,0.0,1.0
0.13574,0.016195,-0.99054,542.94,0.091108,-0.99577,-0.0037942,354.0,-0.98654,-0.089737,-0.13665,270.3,0.0,0.0,0.0,1.0
0.13042,0.015456,-0.99131,545.25,0.091652,-0.99575,-0.0034672,353.6,-0.98721,-0.090406,-0.13128,269.92,0.0,0.0,0.0,1.0
0.12114,0.014016,-0.9918,547.46,0.093117,-0.99492,-0.0026957,353.45,-0.98825,-0.092092,-0.12191,269.83,0.0,0.0,0.0,1.0
0.12114,0.014016,-0.9918,547.46,0.093117,-0.99492,-0.0026957,353.45,-0.98825,-0.092092,-0.12191,269.83,0.0,0.0,0.0,1.0
