Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.66647,0.061163,-0.74302,327.1,0.22094,-0.96806,0.11849,341.7,-0.71204,-0.24313,-0.6587,271.3,0.0,0.0,0.0,1.0
0.66436,0.061547,-0.74487,327.7,0.2214,-0.96808,0.11747,341.85,-0.71387,-0.24296,-0.65678,271.5,0.0,0.0,0.0,1.0
0.6633,0.060364,-0.74592,328.76,0.22112,-0.96805,0.11829,341.68,-0.71494,-0.2434,-0.65545,272.06,0.0,0.0,0.0,1.0
0.66172,0.056396,-0.74762,330.25,0.21682,-0.96895,0.11882,341.8,-0.71771,-0.24073,-0.65341,272.73,0.0,0.0,0.0,1.0
0.65951,0.053683,-0.74978,331.26,0.21421,-0.96951,0.11901,341.96,-0.72053,-0.2391,-0.6509,272.96,0.0,0.0,0.0,1.0
0.65657,0.05356,-0.75236,332.11,0.21454,-0.96954,0.11821,342.15,-0.7231,-0.23902,-0.64806,273.2,0.0,0.0,0.0,1.0
0.65417,0.053299,-0.75446,333.27,0.21635,-0.96902,0.11914,341.7,-0.72474,-0.24117,-0.64544,273.38,0.0,0.0,0.0,1.0
0.65314,0.054192,-0.7553,333.84,0.21776,-0.96875,0.1188,341.7,-0.72525,-0.24206,-0.64452,273.55,0.0,0.0,0.0,1.0
0.65226,0.052728,-0.75616,335.37,0.2173,-0.96871,0.11989,341.44,-0.72618,-0.24251,-0.64331,273.93,0.0,0.0,0.0,1.0
0.65266,0.051237,-0.75591,336.2,0.21456,-0.96936,0.11955,341.87,-0.72663,-0.24022,-0.64366,274.25,0.0,0.0,0.0,1.0
0.65334,0.049367,-0.75546,337.46,0.21028,-0.97044,0.11844,342.38,-0.72728,-0.23624,-0.6444,274.97,0.0,0.0,0.0,1.0
0.64922,0.048522,-0.75906,338.98,0.20954,-0.97075,0.11717,342.3,-0.73117,-0.23512,-0.6404,274.91,0.0,0.0,0.0,1.0
0.64433,0.050092,-0.76311,340.3,0.21179,-0.97051,0.11512,342.08,-0.73484,-0.23579,-0.63594,275.28,0.0,0.0,0.0,1.0
0.64308,0.050394,-0.76414,341.22,0.21241,-0.97042,0.11476,341.87,-0.73575,-0.23611,-0.63476,275.73,0.0,0.0,0.0,1.0
0.64151,0.049678,-0.76551,342.27,0.21047,-0.97101,0.11336,342.0,-0.73768,-0.23384,-0.63336,275.8,0.0,0.0,0.0,1.0
0.64063,0.048682,-0.76631,344.55,0.2096,-0.97117,0.11353,341.98,-0.73869,-0.23335,-0.63236,277.15,0.0,0.0,0.0,1.0
0.63855,0.044954,-0.76826,346.12,0.20291,-0.9728,0.11173,342.66,-0.74234,-0.22723,-0.63031,277.11,0.0,0.0,0.0,1.0
0.63818,0.041928,-0.76875,349.02,0.19804,-0.97385,0.11129,343.8,-0.74398,-0.22327,-0.6298,278.02,0.0,0.0,0.0,1.0
0.63694,0.040225,-0.76986,351.15,0.19552,-0.97441,0.11085,344.03,-0.74571,-0.22113,-0.62851,278.5,0.0,0.0,0.0,1.0
0.63409,0.040039,-0.77222,352.71,0.19509,-0.97463,0.10966,344.09,-0.74824,-0.22019,-0.62582,278.56,0.0,0.0,0.0,1.0
0.63096,0.04211,-0.77467,354.34,0.19879,-0.97396,0.10897,343.6,-0.74991,-0.22275,-0.62291,279.46,0.0,0.0,0.0,1.0
0.62296,0.045688,-0.78091,355.97,0.20332,-0.97344,0.10524,343.57,-0.75536,-0.22433,-0.61571,279.66,0.0,0.0,0.0,1.0
0.61784,0.046862,-0.7849,357.43,0.20415,-0.97355,0.10257,343.58,-0.75934,-0.22361,-0.61107,279.65,0.0,0.0,0.0,1.0
0.61294,0.04525,-0.78883,359.35,0.203,-0.97386,0.10187,343.54,-0.76361,-0.22258,-0.60611,280.18,0.0,0.0,0.0,1.0
0.60708,0.046422,-0.79328,360.65,0.20303,-0.97422,0.098367,343.74,-0.76827,-0.22078,-0.60085,280.34,0.0,0.0,0.0,1.0
0.60381,0.046023,-0.7958,361.84,0.20185,-0.97462,0.096792,343.95,-0.77115,-0.21908,-0.59778,280.62,0.0,0.0,0.0,1.0
0.60096,0.040462,-0.79825,363.97,0.19564,-0.97578,0.097824,344.27,-0.77496,-0.21496,-0.59433,280.92,0.0,0.0,0.0,1.0
0.60036,0.03816,-0.79881,365.75,0.19106,-0.97677,0.096935,344.68,-0.77657,-0.21082,-0.59371,281.36,0.0,0.0,0.0,1.0
0.60003,0.036094,-0.79916,367.49,0.18711,-0.9776,0.096332,344.97,-0.77779,-0.20733,-0.59334,281.57,0.0,0.0,0.0,1.0
0.59953,0.034092,-0.79963,369.69,0.18165,-0.97881,0.094465,345.7,-0.77947,-0.20189,-0.59302,282.25,0.0,0.0,0.0,1.0
0.59341,0.03286,-0.80423,372.15,0.17964,-0.97937,0.092535,346.11,-0.7846,-0.19938,-0.58707,282.42,0.0,0.0,0.0,1.0
0.59005,0.032372,-0.80672,374.14,0.17982,-0.97937,0.092224,345.71,-0.78709,-0.19948,-0.5837,282.89,0.0,0.0,0.0,1.0
0.58545,0.034497,-0.80997,375.47,0.18221,-0.97913,0.090004,345.76,-0.78996,-0.20028,-0.57952,283.01,0.0,0.0,0.0,1.0
0.58106,0.034698,-0.81312,377.07,0.18284,-0.97911,0.088879,345.53,-0.79306,-0.20032,-0.57527,283.12,0.0,0.0,0.0,1.0
0.58006,0.03503,-0.81382,377.87,0.183,-0.97914,0.088287,345.5,-0.79375,-0.20014,-0.57437,283.49,0.0,0.0,0.0,1.0
0.57611,0.035466,-0.8166,379.46,0.18244,-0.97943,0.086174,345.56,-0.79675,-0.19863,-0.57073,283.54,0.0,0.0,0.0,1.0
0.57473,0.035872,-0.81756,380.22,0.18205,-0.97961,0.084998,345.52,-0.79784,-0.19769,-0.56954,283.72,0.0,0.0,0.0,1.0
0.5714,0.037249,-0.81982,381.56,0.1832,-0.97955,0.083178,345.46,-0.79996,-0.19772,-0.56654,283.71,0.0,0.0,0.0,1.0
0.56928,0.03724,-0.82129,382.96,0.18271,-0.97971,0.082222,345.48,-0.80158,-0.19687,-0.56454,284.1,0.0,0.0,0.0,1.0
0.56723,0.034534,-0.82283,385.29,0.17711,-0.98086,0.080925,345.8,-0.80429,-0.19163,-0.56249,284.2,0.0,0.0,0.0,1.0
0.5676,0.031741,-0.82268,387.27,0.17358,-0.98139,0.081893,345.97,-0.80479,-0.18929,-0.56256,284.91,0.0,0.0,0.0,1.0
0.56479,0.02829,-0.82474,389.8,0.16521,-0.98305,0.079415,347.15,-0.80853,-0.18111,-0.5599,284.99,0.0,0.0,0.0,1.0
0.56414,0.027509,-0.82522,391.41,0.1639,-0.98328,0.079272,347.56,-0.80924,-0.17998,-0.55922,285.45,0.0,0.0,0.0,1.0
0.56061,0.026158,-0.82767,394.08,0.16557,-0.98286,0.081079,347.22,-0.81136,-0.18249,-0.55533,286.18,0.0,0.0,0.0,1.0
0.55625,0.026034,-0.83061,396.27,0.16625,-0.98279,0.080531,346.97,-0.81422,-0.18288,-0.551,285.94,0.0,0.0,0.0,1.0
0.55262,0.025529,-0.83304,397.98,0.16676,-0.9827,0.080512,346.75,-0.81658,-0.18341,-0.54732,286.2,0.0,0.0,0.0,1.0
0.54929,0.024718,-0.83527,400.06,0.16535,-0.98301,0.079644,346.99,-0.81911,-0.18186,-0.54404,286.3,0.0,0.0,0.0,1.0
0.54597,0.02258,-0.8375,402.29,0.16254,-0.9835,0.079444,347.28,-0.82189,-0.1795,-0.54063,286.23,0.0,0.0,0.0,1.0
0.54311,0.022454,-0.83936,403.82,0.16225,-0.98361,0.078674,347.4,-0.82383,-0.17892,-0.53785,286.5,0.0,0.0,0.0,1.0
0.54019,0.021846,-0.84126,405.73,0.16111,-0.98386,0.077903,347.3,-0.82598,-0.17762,-0.53499,286.43,0.0,0.0,0.0,1.0
0.53441,0.021253,-0.84496,407.16,0.159,-0.98436,0.075807,347.5,-0.83013,-0.17486,-0.52944,286.41,0.0,0.0,0.0,1.0
